sim_num,max_danger,avg_danger,interactions,lane_switch_interactions,tailgating_interactions,goals_not_reached,collisions,emergency_maneuvers,avg_velocity,overall_steps,number_egos
102,26.079002493828384,5.219417680771877,5,5,0,1,0,10,12.568799481743467,121,5
103,14.282978195660867,4.007838266518984,0,0,0,1,0,7,13.45649364175935,81,4
104,12.940491084299763,2.1094307937052097,8,8,0,1,0,7,11.255459556358506,121,4
105,15.132023730998558,5.2051497194178475,2,2,0,1,0,8,12.508545858860401,129,5
106,23.825245136690235,15.990325139978069,6,6,0,2,1,5,14.565613393080815,64,4
107,18.78195080637021,5.1573944559411755,3,3,0,1,0,7,11.909883243973878,158,5
108,23.825245136690235,15.990325139978069,6,6,0,2,1,5,14.565613393080815,64,4
109,4.621959203486266,1.9092329406805237,0,0,0,0,0,2,11.467951133758127,137,3
110,11.091969052490294,3.389572900044649,7,7,0,1,0,10,11.206348250762542,126,4
111,26.4387686514182,5.2809317156190465,12,12,0,1,0,8,11.672870708593011,121,5
112,20.766491103884352,5.519718754647752,3,3,0,1,0,7,12.647397248210204,121,5
113,24.15210187197917,5.229901327568057,6,6,0,1,0,10,12.603955404034025,121,5
114,14.282978195660867,4.007838266518984,0,0,0,1,0,7,13.45649364175935,81,4
115,26.4557001142435,5.227385683941347,6,6,0,1,0,10,12.541921437129274,121,5
116,26.4557001142435,5.227385683941347,6,6,0,1,0,10,12.541921437129274,121,5
117,19.935206539453308,10.046078403047407,6,6,0,2,1,4,14.600062186753322,64,4
118,10.67016407478007,1.6157980660077012,2,2,0,1,0,7,11.10912705421219,121,4
119,26.4557001142435,5.227385683941347,6,6,0,1,0,10,12.541921437129274,121,5
120,14.282978195660867,4.007838266518984,0,0,0,1,0,7,13.45649364175935,81,4
121,9.771794857891425,3.0853121980414917,6,6,0,1,0,10,10.294620588313101,126,4
122,12.56243902603219,3.8824593658533657,0,0,0,1,0,7,11.869619850702174,83,4
123,12.940491084299763,2.1094307937052097,8,8,0,1,0,7,11.255459556358506,121,4
124,21.068061640854097,5.522316116831452,4,4,0,1,0,7,12.507894461880602,124,5
125,26.4557001142435,5.227385683941347,6,6,0,1,0,10,12.541921437129274,121,5
126,12.940491084299763,2.1094307937052097,8,8,0,1,0,7,11.255459556358506,121,4
127,15.537883615348495,5.281360011937771,4,4,0,1,0,8,12.463448966245931,129,5
128,15.670923697557141,4.823259400715777,3,3,0,1,0,8,12.370199459030063,140,5
129,26.45886239593859,4.835136683381434,13,13,0,2,0,13,12.503161722177921,123,5
130,25.745858594142348,4.030788024587093,12,12,0,1,0,8,12.978566395850624,121,4
131,9.746609520666384,2.072404527391341,6,6,0,1,0,9,12.611356255835117,126,4
132,9.746609520666384,2.072404527391341,6,6,0,1,0,9,12.611356255835117,126,4
133,26.292471389353718,4.3491394572614155,12,12,0,1,0,8,12.773357704912321,121,5
134,26.604678235010862,4.7226892796415,12,12,0,2,0,13,11.968383496779625,121,5
135,26.604678235010862,4.7226892796415,12,12,0,2,0,13,11.968383496779625,121,5
136,27.07908544622371,4.717893173463617,12,12,0,2,0,13,11.798105561215012,121,5
137,14.418590741268709,4.703965169573719,5,5,0,2,0,11,11.746400440577919,129,5
138,23.91737635201546,15.982868714647072,8,8,0,3,1,8,14.709220726192779,51,4
